rank,sitc4,product,value,delta,year
113,1109,Wheat gluten,3.84213,0,1995
114,2921,Amine-function compounds,3.80087,0,1995
115,8701,Tractors,3.79636,0,1995
116,8431,Parts for use with hoists and excavation machinery,3.79228,0,1995
117,7223,Wire of stainless steel,3.78729,0,1995
118,3506,Glues and adhesives,3.78726,0,1995
119,8448,Auxiliary machinery for use with knitting and textile machines,3.78308,0,1995
120,9702,"Original engravings, prints and lithographs",3.77381,0,1995
121,7014,Signaling glassware,3.76916,0,1995
122,6806,"Slag wool, rock wool and similar mineral wools",3.76836,0,1995
123,8508,Vacuum cleaners,3.76779,0,1995
124,8426,Ships' derricks; cranes,3.75847,0,1995
125,7020,Other articles of glass,3.74569,0,1995
126,7505,"Nickel bars, rods, profiles and wire",3.74558,0,1995
127,8403,Central heating boilers,3.72159,0,1995
128,8530,"Electric signal, safety & traffic controls, railways, waterways, parking or airfields",3.72105,0,1995
129,8436,"Other agricultural, horticultural, forestry equipment; poultry incubators and brooders",3.7169,0,1995
130,9032,Automatic regulating or controlling instruments and apparatus,3.71621,0,1995
131,7609,Aluminum tube or pipe fittings,3.70665,0,1995
132,7227,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel",3.70522,0,1995
133,8451,"Machinery for washing, cleaning or drying fabrics",3.70135,0,1995
134,3912,Cellulose not elsewhere specified,3.69702,0,1995
135,4705,Semichemical woodpulp,3.69142,0,1995
136,4009,"Tubes, pipes and hoses, of vulcanized rubber",3.68924,0,1995
137,9402,"Medical, surgical, dental or veterinary furniture",3.68581,0,1995
138,8454,"Converters, ladles and casting machines used in metallurgy",3.66837,0,1995
139,8421,Centrifuges,3.66429,0,1995
140,8409,Parts suitable for use with spark-ignition engines,3.65766,0,1995
141,7412,Copper tube or pipe fittings,3.64674,0,1995
142,2908,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",3.6324,0,1995
143,7221,"Bars and rods, stainless steel, hot-rolled",3.62936,0,1995
144,3703,Photographic paper,3.61859,0,1995
145,8404,Auxiliary plant for use with boilers; condensers for steam or other vapor power units,3.60977,0,1995
146,7002,Glass balls,3.59972,0,1995
147,8545,Carbon electrodes or other articles of graphite or carbon used for electrical purposes,3.59615,0,1995
148,8538,Parts for use with apparatus for protecting electrical circuits,3.5951,0,1995
149,3204,Synthetic organic coloring matter,3.58006,0,1995
150,8537,Electrical Boards and panels for protecting electrical circuits,3.57845,0,1995
151,4005,Compounded rubber,3.57228,0,1995
152,8468,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting",3.55723,0,1995
153,8478,Machinery for preparing or making up tobacco,3.54741,0,1995
154,8446,Looms,3.54741,0,1995
155,3908,Polyamides in primary forms,3.54404,0,1995
156,8713,Carriages for disabled persons,3.54054,0,1995
157,9017,Drafting tables and machines,3.52904,0,1995
158,8480,Molding boxes for metal foundry,3.52289,0,1995
159,8413,Pumps for liquids,3.51163,0,1995
160,7212,"Flat rolled iron or non-alloy steel, width <600mm, plated with tin",3.49604,0,1995
161,8205,Hand tools (including glass cutters) not elsewhere specified,3.49549,0,1995
162,6805,Natural or artificial abrasive powder or grain,3.48966,0,1995
163,8547,"Insulating fittings for electrical machines, appliances or equipment",3.4885,0,1995
164,3407,Model and dental pastes and waxes,3.4803,0,1995
165,8509,Electromechanical domestic appliances,3.47575,0,1995
166,9610,"Slates and boards, with writing or drawing surfaces",3.47526,0,1995
167,8472,Other office machines,3.47523,0,1995
168,3809,Finishing agents for dyeing,3.47067,0,1995
169,3920,"Other not reinforced plastic plates, sheets, film, foil and strip",3.4681,0,1995
170,9020,Other breathing appliances and gas masks,3.46354,0,1995
171,8414,Air or vacuum pumps; ventilating or recycling hoods,3.45669,0,1995
172,9025,"Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers",3.45586,0,1995
173,9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials",3.4371,0,1995
174,7506,"Nickel plates, sheets, strip and foil",3.43106,0,1995
175,8449,Machinery to manufacture or finish felt or nonwovens,3.42503,0,1995
176,9204,Accordions and similar instruments,3.42422,0,1995
177,8510,"Shavers, hair clippers and hair-removing appliances",3.41381,0,1995
178,2821,Iron oxides and hydroxides,3.4136,0,1995
179,3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulfides, polysulfones",3.41158,0,1995
180,3810,Metal pickling preparations,3.40057,0,1995
181,7410,Copper foil < 0.15 mm,3.39574,0,1995
182,4809,Carbon paper,3.39364,0,1995
183,8433,Harvesting or agricultural machinery,3.38314,0,1995
184,6804,"Stones for milling, grinding or pulping",3.38055,0,1995
185,9011,Compound optical microscopes,3.3805,0,1995
186,4906,"Plans and drawings for architectural, engineering, industrial, commercial, topographical purposes",3.3779,0,1995
187,8438,"Machinery, not specified for the industrial preparation or manufacture of food or drink",3.37569,0,1995
188,4905,Maps,3.37224,0,1995
189,8434,Milking and dairy machines,3.35853,0,1995
190,2850,"Hydrides, nitrides, azides, silicides and borides",3.34657,0,1995
191,8445,Machines for preparing textile fibers,3.34316,0,1995
192,8484,Gaskets and similar joints of metal sheeting,3.34066,0,1995
193,8458,Lathes for removing metal,3.33357,0,1995
194,8204,Hand-operated spanners and wrenches,3.33164,0,1995
195,8803,Parts of goods of other aircraft,3.32679,0,1995
196,8109,Zirconium,3.32659,0,1995
197,7107,Silver clad metals,3.31909,0,1995
198,3816,"Refractory cements, mortars",3.31412,0,1995
199,8707,Vehicle Bodies,3.31022,0,1995
200,2907,Phenols; phenol-alcohols,3.30158,0,1995
201,2829,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,3.288,0,1995
202,2906,"Cyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",3.2807,0,1995
203,7304,"Tubes, pipes and hollow profiles, seamless, of iron or steel",3.27934,0,1995
204,7318,"Screws, bolts, nuts and similar articles of iron or steel",3.27648,0,1995
205,3812,Prepared rubber accelerators,3.26862,0,1995
206,2910,Epoxides,3.25034,0,1995
207,7508,Other articles of nickel,3.24858,0,1995
208,1702,Other sugars,3.24648,0,1995
209,8903,Yachts,3.23249,0,1995
210,4908,Transfers (decalcomanias),3.2221,0,1995
211,2925,Carboxyimide-function compounds,3.2209,0,1995
212,3820,Antifreezing preparations and deicing fluids,3.20997,0,1995
213,9028,"Gas, liquid or electricity supply or production meters",3.20869,0,1995
214,2914,Ketones and quinones,3.20633,0,1995
215,8517,Telephones,3.20562,0,1995
216,5603,Nonwoven textiles,3.20428,0,1995
217,7906,"Zinc tubes, pipes and tube or pipe fittings",3.18603,0,1995
218,7009,Glass mirrors,3.17211,0,1995
219,7008,Multiple-walled insulating glass,3.16843,0,1995
220,7111,Platinum clad metals,3.16571,0,1995
221,8440,Bookbinding machinery,3.13903,0,1995
222,8482,Ball or roller bearings,3.09808,0,1995
223,9616,Scent sprayers and similar toilet sprayers,3.09037,0,1995
224,2838,"Fulminates, cyanates and thiocyanates",3.08763,0,1995
225,9107,Time switches with clock or watch movement,3.0847,0,1995
226,5906,Rubberized textile fabrics,3.08333,0,1995
227,3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",3.06497,0,1995
228,8302,"Base metal mountings, fittings and similar articles suitable for furniture; base metal hat racks; castors with mountings ",3.04886,0,1995
229,8459,"Machine tools for drilling, boring or milling by removing metal",3.04492,0,1995
230,7011,Glass envelopes,3.04332,0,1995
231,3918,Floor coverings of plastics,3.04025,0,1995
232,1506,"Animal fats, oils",3.0355,0,1995
233,3206,Other coloring matter,3.01936,0,1995
234,7211,"Hot box roll iron or non-alloy steel, flat, w 150-600mm, t >4mm, myp>35",3.01653,0,1995
235,1514,"Canola, rape, colza or mustard oil, crude",3.01556,0,1995
236,8417,"Industrial or laboratory furnaces and ovens, including incinerators",3.01035,0,1995
237,8901,Cruise ships and similar vessels for the transport of persons,3.00107,0,1995
238,4813,Cigarette paper,2.9907,0,1995
239,9504,"Articles for arcade, table or parlor games",2.9845,0,1995
240,7322,Radiators for central heating of iron or steel,2.98425,0,1995
241,4812,Filter blocks of paper pulp,2.98104,0,1995
242,2924,Carboxyamide-function compounds,2.97437,0,1995
243,7019,Glass fibers,2.97141,0,1995
244,8207,Interchangeable tools for hand tools,2.96978,0,1995
245,9010,Equipment for photographic laboratories,2.96006,0,1995
246,4016,Other articles of vulcanized rubber,2.95181,0,1995
247,3916,Monofilament,2.94722,0,1995
248,9104,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels",2.93681,0,1995
249,8206,"Tools of two or more types of hand tools, for retail sale",2.93208,0,1995
250,4816,Other carbon paper,2.93114,0,1995
251,3212,"Pigments, nonaqueous",2.92127,0,1995
252,8548,Waste and scrap of batteries; used batteries,2.9164,0,1995
253,3208,"Paints and varnishes, nonaqueous",2.9143,0,1995
254,2930,Organo-sulfur compounds,2.90999,0,1995
255,2618,Granulated slag,2.90875,0,1995
256,9021,"Orthopedic appliances, including crutches; splints and other fracture appliances; artificial parts of the body; hearing aids",2.90178,0,1995
257,7320,Springs of iron or steel,2.89851,0,1995
258,9701,"Paintings, drawings and pastels done by hand",2.8956,0,1995
259,2915,Saturated acyclic monocarboxylic acids,2.89357,0,1995
260,3302,Mixtures of odoriferous substances and mixtures,2.89012,0,1995
261,3606,Ferrocerium and other pyrophoric alloys,2.8752,0,1995
262,3601,Propellant powders,2.87019,0,1995
263,2847,Hydrogen peroxide,2.86531,0,1995
264,3404,Artificial and prepared waxes,2.85384,0,1995
265,7905,"Zinc plates, sheets, strip and foil",2.8529,0,1995
266,8311,"Wire, rods, tubes, plates, electrodes and similar products of base metal",2.84914,0,1995
267,7315,"Chain and parts thereof, of iron or steel",2.83801,0,1995
268,2840,Borates; peroxoborates,2.83308,0,1995
269,5502,Artificial filament tow,2.83131,0,1995
270,5602,Felt,2.82321,0,1995
271,8546,Electrical insulators of any material,2.82262,0,1995
272,8536,Apparatus protecting electrical circuits for < 1k volts,2.82059,0,1995
273,3921,"Other plastic plates, sheets, film, foil and strip",2.81923,0,1995
274,9019,Mechano-therapy appliances,2.81782,0,1995
275,9608,Pens,2.80619,0,1995
276,7607,Aluminum foil < 0.2 mm,2.80574,0,1995
277,2808,Sulfonitric acids,2.80469,0,1995
278,7307,Tube or pipe fittings of iron or steel,2.79998,0,1995
279,2926,Nitrile-function compounds,2.78839,0,1995
280,4002,Synthetic rubber,2.78217,0,1995
281,9013,Liquid crystal devices,2.77529,0,1995
282,9018,"Medical, surgical, dental or vet instruments",2.77178,0,1995
283,7611,"Aluminium reservoirs, vats, tanks, etc",2.77001,0,1995
284,2936,Vitamins,2.76273,0,1995
285,8534,Electronic printed circuits,2.76069,0,1995
286,8435,"Presses, crushers used in the manufacture of wine, cider, fruit juices",2.75725,0,1995
287,8501,Electric motors and generators,2.75344,0,1995
288,2912,Aldehydes,2.75238,0,1995
289,8507,Electric storage batteries,2.74234,0,1995
290,9305,Parts and accessories of military weapons or other arms,2.73619,0,1995
291,9003,"Frames and mountings for spectacles, goggles or the like",2.73279,0,1995
292,2918,Carboxylic acids with additional oxygen function,2.73171,0,1995
293,8525,"Transmission apparatus for radio, telephone and TV",2.72917,0,1995
294,6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods",2.72294,0,1995
295,4901,"Printed books, brochures, leaflets and similar printed matter",2.71673,0,1995
296,3917,"Tubes, pipes and hoses and fittings",2.712,0,1995
297,3922,"Baths, shower baths, sinks, washbasins, bidets, lavatory pans, seats and covers",2.7114,0,1995
298,0209,Pig and poultry fat,2.71053,0,1995
299,6809,Plaster articles,2.71051,0,1995
300,7326,Other articles of iron or steel,2.71028,0,1995
301,8429,"Self-propelled bulldozers, excavators and road rollers",2.7099,0,1995
302,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,2.70987,0,1995
303,0203,Swine meat,2.70624,0,1995
304,0404,Whey,2.70583,0,1995
305,8705,Special purpose motor vehicles,2.70176,0,1995
306,8526,Radar and radio navigational aid apparatus,2.69855,0,1995
307,3813,Preparations and charges for fire-extinguishers,2.6961,0,1995
308,7319,"Sewing needles, knitting needles and similar articles of iron or steel",2.69338,0,1995
309,8603,"Self-propelled railway or tramway coaches, vans and trucks",2.6844,0,1995
310,3925,Plastic builders' ware,2.68312,0,1995
311,8716,Trailers and semi-trailers,2.6789,0,1995
312,8805,Aircraft launching gear,2.67756,0,1995
313,8605,Railway passenger coaches,2.6746,0,1995
314,1105,Potato flour or meal,2.66125,0,1995
315,8005,Tin foil (thickness < 0.2 mm),2.66073,0,1995
316,6815,Stone and other mineral articles,2.65946,0,1995
317,2837,Cyanides,2.6576,0,1995
318,3002,Human or animal blood prepared for therapeutic uses,2.65708,0,1995
319,1518,"Processed animal, vegetable oils",2.65476,0,1995
320,8511,Electrical ignition or starting equipment,2.64953,0,1995
321,3207,Prepared pigments,2.63602,0,1995
322,7228,"hollow drill bars and rods, of alloy or non-alloy steel",2.63568,0,1995
323,7017,"Laboratory, hygienic or pharmaceutical glassware",2.60724,0,1995
324,8607,Parts of railway locomotives,2.60508,0,1995
325,1501,"Lard, poultry fat, rendered",2.59278,0,1995
326,2831,Dithionites and sulfoxylates,2.58692,0,1995
327,7411,Copper tubes and pipes,2.58568,0,1995
328,3907,Polyacetals,2.58131,0,1995
329,9203,"Harmoniums, pipe organs, etc",2.56151,0,1995
330,4008,"Plates, sheets, strip, rods and profile shapes, of vulcanized rubber",2.55646,0,1995
331,2929,Compounds with other nitrogen function,2.55368,0,1995
332,3213,Artists' colors,2.5478,0,1995
333,8710,Tanks and other armoured fighting vehicles,2.54594,0,1995
334,3803,Tall oil,2.54343,0,1995
335,8704,Motor vehicles for transporting goods,2.53979,0,1995
336,6906,"Ceramic pipes, conduits, guttering and pipe fittings",2.53805,0,1995
337,8410,"Hydraulic turbines, water wheels",2.53286,0,1995
338,8423,Weighing machinery,2.53205,0,1995
339,5901,Textile fabrics coated with gum or amylaceous,2.52722,0,1995
340,8709,"Works trucks, self-propelled",2.52282,0,1995
341,8407,Spark-ignition reciprocating or rotary internal combustion piston engines,2.52005,0,1995
342,8101,Tungsten (wolfram),2.50643,0,1995
343,8802,"Aircraft, spacecraft & launch vehicles",2.50611,0,1995
344,8711,Motorcycles,2.49916,0,1995
345,4010,Conveyor or transmission belts of vulcanized rubber,2.4968,0,1995
346,1505,"Wool grease, crude",2.48506,0,1995
347,8405,Producer gas or water gas generators,2.48277,0,1995
348,9611,"Date, sealing or numbering stamps and the like",2.47691,0,1995
349,7229,Wire of other alloy steel,2.47391,0,1995
350,4802,"Paper, uncoat, for writing etc, rolls, handmade paper",2.46088,0,1995
351,2927,"Diazo-, azo- or azoxy-compounds:",2.45676,0,1995
352,4902,"Newspapers, journals and periodicals",2.44731,0,1995
353,4823,"Other paper, paperboard cut to size or shape",2.44557,0,1995
354,8906,"Other vessels, including warships and lifeboats other than row boats",2.43764,0,1995
355,7007,Safety glass,2.43424,0,1995
356,2708,Pitch and pitch coke,2.43264,0,1995
357,7205,"Powders, of pig iron, spiegeleisen, iron or steel",2.42974,0,1995
358,7015,Clock or watch glasses,2.42666,0,1995
359,5811,Quilted textile products in piece,2.41804,0,1995
360,5404,"Synthetic monofilament, >67 dtex, thickness < 1mm",2.40506,0,1995
361,5606,Gimp yarn,2.39916,0,1995
362,7308,"Structures and parts thereof (bridges, lock gates, towers, etc)",2.3856,0,1995
363,7608,Aluminum tubes and pipes,2.37674,0,1995
364,3903,"Polymers of styrene, in primary forms",2.3716,0,1995
365,9105,Other clocks,2.36097,0,1995
366,1806,"Cocoa powder, sweetened",2.35438,0,1995
367,0406,Fresh cheese,2.35396,0,1995
368,5909,Textile hosepiping and similar tubing,2.35364,0,1995
369,2823,Titanium oxides,2.35075,0,1995
370,8474,"Machinery for working earth, stone, and other mineral substances",2.3463,0,1995
371,8203,"Files, rasps, pliers, pincers, tweezers, metal cutting shears, pipe cutter, and base metal parts thereof",2.33736,0,1995
372,9303,Other firearms and similar devices,2.31502,0,1995
373,5704,Carpets of felt,2.30195,0,1995
374,8471,Automatic data processing machines,2.29827,0,1995
375,7806,Other articles of lead,2.29621,0,1995
376,8529,"Parts of radios, telephones and TVs",2.29131,0,1995
377,8450,laundry-type washing machines,2.29128,0,1995
378,7314,Cloth of iron or steel wire,2.28089,0,1995
379,7224,Other alloy steel in primary form,2.2747,0,1995
380,2832,Sulfites; thiosulfates,2.27026,0,1995
381,9205,Wind musical instruments,2.26843,0,1995
382,8301,Padlocks of base metal,2.25839,0,1995
383,3814,Organic composite solvents and thinners,2.25599,0,1995
384,8430,"Other moving, excavating, extracting or boring machinery for earth, minerals or ores; pile-drivers; snowplows and snowblowers",2.25235,0,1995
385,2939,Vegetable alkaloids,2.25015,0,1995
386,3801,Artificial graphite,2.2499,0,1995
387,3001,Glands and other organs,2.24468,0,1995
388,7415,"Nails, tacks, staples and similar articles of copper",2.24465,0,1995
389,8402,Steam or other vapor generating boilers,2.23706,0,1995
390,2605,Cobalt ores,2.23229,0,1995
391,7603,Aluminum powders and flakes,2.23131,0,1995
392,2813,Sulfides of nonmetals,2.22946,0,1995
393,2938,Glycosides,2.22715,0,1995
394,4801,Newsprint,2.22621,0,1995
395,3211,Prepared driers,2.22362,0,1995
396,2843,Colloidal precious metals; inorganic or organic compounds of precious metals,2.22171,0,1995
397,4815,Floor coverings of paper,2.21602,0,1995
398,8505,Electromagnets,2.21556,0,1995
399,7616,Other articles of aluminum,2.2064,0,1995
400,5504,Artificial staple fibers,2.20509,0,1995
401,7612,Aluminum cans and similar containers,2.20211,0,1995
402,9302,Revolvers and pistols,2.20081,0,1995
403,9607,Slide fasteners and parts thereof,2.19877,0,1995
404,6807,Asphalt,2.18969,0,1995
405,5005,Yarn from silk waste,2.18909,0,1995
406,2909,Ethers,2.1842,0,1995
407,9106,Time of day recording apparatus and apparatus for measuring,2.18079,0,1995
408,8425,Pulley tackle and hoists; winches and capstans; jacks,2.179,0,1995
409,5907,"Textile fabrics otherwise impregnated, coated or covered",2.17148,0,1995
410,3902,"Polymers of propylene or of other olefins, in primary forms",2.16903,0,1995
411,8608,Railway or tramway track fixtures and fittings; safety equipment,2.16755,0,1995
412,8801,"Balloons & dirigibles, gliders etc",2.1632,0,1995
413,7312,"Stranded wire, ropes, cables of iron or steel, not electrically insulated",2.15952,0,1995
414,8516,Electric instantaneous or storage water heaters,2.15821,0,1995
415,2502,Iron pyrites,2.14675,0,1995
416,9109,"Clock movements, complete and assembled",2.14452,0,1995
417,9110,Complete watch or clock movements,2.13846,0,1995
418,4817,Letterstock,2.13392,0,1995
419,2817,Zinc oxide and peroxide,2.12924,0,1995
420,3307,Shaving products,2.12857,0,1995
421,4805,Other uncoated paper and paperboard,2.12407,0,1995
422,9001,Optical fibers,2.11964,0,1995
423,7305,Other tubes and pipes of iron or steel having circular cross section,2.11505,0,1995
424,7218,Stainless steel in ingots or other primary forms,2.10824,0,1995
425,5703,"Carpets, tufted",2.09815,0,1995
426,7904,"Zinc bars, rods, profiles and wire",2.08636,0,1995
427,7006,Glass with edge workings or bent,2.0814,0,1995
428,4821,Paper and paperboard labels,2.07002,0,1995
429,3504,Peptones,2.06763,0,1995
430,4204,Articles of leather for technical uses,2.06687,0,1995
431,0408,Egg yolks dried,2.06255,0,1995
432,4818,Toilet paper of a kind used for household or sanitary purposes,2.05407,0,1995
433,4017,Hard rubber,2.04956,0,1995
434,3807,"Wood tar, oils, creosote, naphtha; vegetable pitch",2.03394,0,1995
435,3004,"Medicaments, packaged",2.03236,0,1995
436,2811,Other inorganic acids and other inorganic oxygen compounds of nonmetals,2.03111,0,1995
437,2935,Sulfonamides,2.02881,0,1995
438,8305,Miscellaneous office goods,2.02152,0,1995
439,5605,Metallised yarn,2.01437,0,1995
440,7416,Copper springs,2.00918,0,1995
441,3926,Other articles of plastic,2.00499,0,1995
442,7605,Aluminum wire,2.00368,0,1995
443,4701,Mechanical wood pulp,2.00097,0,1995
444,8102,Molybdenum,1.99563,0,1995
445,3502,Albumins (water soluble proteins),1.99554,0,1995
446,9023,"Instruments, apparatus and models, designed for demonstrational purposes",1.9873,0,1995
447,7804,Lead foil of a thickness <2mm,1.98584,0,1995
448,8213,"Scissors, tailors/similar shears, blades thereof",1.98339,0,1995
